product_id,product_name,category,brand,model_year,warranty_period,voltage_rating,current_rating,power_rating_watts,frequency_hz,efficiency_rating,power_factor,number_of_phases,battery_operated,battery_type,energy_star_certified,standby_power_watts,average_daily_use_hours,weight_kg,dimensions_cm,volume_cm3,casing_material,color,ip_rating,thermal_resistance,control_type,smart_device,connectivity,number_of_ports,sensor_type,price_usd,discount_percentage,stock_quantity,units_sold,return_rate,average_rating,price_per_watt,is_energy_efficient,smart_score
P000,Product_0 😎, appliance ,ElectroMax,2021,24,110,6.62,1456,50,a++,0.82,1,False,Lead-acid,True,2.43,9.0,5.34,21x22x48,22176,Metal,Black,IP67,0.58,Remote,False,Zigbee,0,Voltage,$99.40,5,892,712,0.13,3.1,0.12,False,1
P001,Product_1 :),MOTOR,,2016,36,220,7.85,1727,60,A +,0.95,3,False,Lead-acid,False,0.71,5.5,8.06,8x38x37,11248,Metal,Red,IP20,0.93,Manual,True,None,1,Voltage,451.86,20,552,25,0.14,3.4,0.26,False,1
P002,Product_2 💡,Lighting,PowerLite,2019,36,220,0.78,172,50,A++,0.77,1,True,Li-ion,True,4.65,4.7,3.51,12x41x43,21156,Composite,White,IP65,0.8,App-Controlled,False,Zigbee,4,Temperature,nan,0,721,137,0.07,4.72,1.09,False,2
P003,Product_3 ♥,sensor ,SparkTech,2017,36,110,2.72,599,50, a+ ,1.0,3,False,Li-ion,True,5.0,7.3,1.56,37x27x26,25974,Metal,Grey,IP20,0.37,Remote,False,Bluetooth,5,Voltage,208.11,10,91,48,0.11,4.94,0.35,False,2
P004,Product_4,Sensor,SparkTech,2020,24,220,8.19,901,60,A++,0.71,3,False,NiMH,False,0.29,4.8,6.08,11x27x41,12177,Metal,Blue,IP20,0.21,Manual,False,Bluetooth,4,Voltage,270.19,20,658,199,0.01,3.94,0.3,True,1
P005,Product_5,Motor,PowerLite,2018,12,220,18.71,99999,50,A+,0.97,3,True,None,True,2.06,1.9,7.27,47x7x33,10857,Plastic,Black,IP65,0.14,Remote,True,Bluetooth,2,Motion,nan,0,38,37,0.06,3.2,0.02,True,1
P006,Product_6,Battery,GreenCharge,2016,24,110,2.94,646,60,A+,0.77,3,False,None,True,4.38,4.8,4.75,36x6x13,2808,Composite,Grey,IP20,0.28,App-Controlled,True,Zigbee,0,Temperature,9999.99,10,897,383,0.17,2.83,0.37,False,1
P007,Product_7,Appliance,,2021,12,220,15.07,1658,60,,0.79,1,False,NiMH,True,2.53,4.1,2.88,8x30x23,5520,Metal,White,IP20,0.45,Remote,False,None,1,None,129.17,5,73,49,0.18,3.49,0.08,False,1
P008,Product_8,Lighting,GreenCharge,2022,24,110,11.42,2513,50,,0.86,3,False,Li-ion,False,3.43,10.9,6.56,43x33x6,8514,Metal,Grey,IP67,0.27,App-Controlled,False,Zigbee,5,None,180.79,0,984,47,0.12,2.93,0.07,True,1
P009,Product_9,Lighting,VoltCraft,2024,24,220,9.19,2022,60,A++,0.8,1,False,Lead-acid,True,1.01,3.3,8.31,42x26x16,17472,Plastic,Grey,IP65,0.93,Manual,False,Zigbee,0,Voltage,189.12,15,899,265,0.06,4.9,0.09,False,1
P010,Product_10,Sensor,SparkTech,2020,36,220,8.95,985,60,A+,0.8,3,True,None,True,5.0,11.1,4.97,15x35x31,16275,Composite,Blue,IP67,0.94,App-Controlled,False,None,5,Motion,367.45,20,830,324,0.17,4.79,0.37,True,1
P011,Product_11,Appliance,SparkTech,2020,36,110,21.89,2408,50,A+,0.85,3,True,Lead-acid,False,4.35,3.0,1.11,39x34x37,49062,Composite,Grey,IP65,0.55,Remote,False,Zigbee,3,Voltage,nan,20,5,4,0.13,3.92,0.05,False,1
P012,Product_12,Appliance,,2015,24,220,12.79,1407,50,A,0.93,3,False,None,True,3.89,5.8,7.58,9x24x21,4536,Plastic,Black,IP65,0.39,App-Controlled,False,None,1,Voltage,58.04,20,796,683,0.16,3.0,0.04,False,1
P013,Product_13,Lighting,PowerLite,2023,24,220,16.3,1793,60,,0.73,1,True,None,True,0.12,10.3,2.06,18x10x26,4680,Composite,Blue,IP67,0.15,Manual,False,Zigbee,0,Motion,181.94,0,672,216,0.03,2.67,0.1,True,3
P014,Product_14,Appliance,ElectroMax,2021,24,110,9.39,1033,50,A,0.92,3,True,NiMH,False,4.66,6.5,2.96,18x24x44,19008,Composite,Black,IP65,0.89,Manual,False,None,0,Voltage,409.36,15,123,123,0.06,2.98,0.4,False,0
P015,Product_15,Sensor,SparkTech,2017,36,110,10.07,2215,50,A++,0.84,3,True,NiMH,False,2.0,1.0,5.9,50x44x42,92400,Composite,Grey,IP65,0.96,App-Controlled,False,WiFi,1,Voltage,220.0,20,429,42,0.14,4.17,0.1,True,1
