product_id,product_name,category,brand,model_year,warranty_period,voltage_rating,current_rating,power_rating_watts,frequency_hz,efficiency_rating,power_factor,number_of_phases,battery_operated,battery_type,energy_star_certified,standby_power_watts,average_daily_use_hours,weight_kg,dimensions_cm,volume_cm3,casing_material,color,ip_rating,thermal_resistance,control_type,smart_device,connectivity,number_of_ports,sensor_type,price_usd,discount_percentage,stock_quantity,units_sold,return_rate,average_rating,price_per_watt,is_energy_efficient,smart_score
P000,Product_0,Appliance,ElectroMax,2023,12,220,1.88,413,60,B,0.83,1,False,NiMH,False,1.14,10.6,0.5,47x7x49,16121,Composite,Blue,IP65,0.6,Remote,False,Zigbee,0,Motion,99.4,5,342,130,0.2,3.69,0.24,True,1
P001,Product_1,Motor,PowerLite,2018,36,220,14.12,1553,60,A++,0.93,3,True,NiMH,True,3.74,4.6,8.75,35x38x28,37240,Plastic,White,IP44,0.41,App-Controlled,True,Bluetooth,5,None,274.96,10,487,451,0.05,3.39,0.18,False,0
P002,Product_2,Battery,ElectroMax,2016,12,110,8.78,1931,50,B,0.71,1,True,NiMH,False,0.8,4.1,1.48,7x23x49,7889,Plastic,Red,IP44,0.94,Manual,False,Bluetooth,3,Motion,233.15,20,538,176,0.18,3.31,0.12,True,2
P003,Product_3,Motor,SparkTech,2016,12,110,26.68,2935,60,B,0.71,1,True,Lead-acid,True,1.47,7.3,9.88,39x6x9,2106,Metal,Grey,IP20,0.98,App-Controlled,True,WiFi,5,None,57.92,15,717,627,0.06,4.62,0.02,True,3
P004,Product_4,Lighting,GreenCharge,2018,36,220,1.34,295,60,A+,1.0,3,False,Lead-acid,True,2.63,2.7,7.75,38x17x7,4522,Composite,Red,IP20,0.84,Manual,True,None,0,Motion,448.5,20,286,124,0.18,4.3,1.52,False,1
P005,Product_5,Appliance,GreenCharge,2019,36,110,27.16,2988,50,B,0.93,3,False,Li-ion,True,3.21,6.8,9.67,46x29x40,53360,Plastic,Red,IP67,0.22,App-Controlled,False,WiFi,5,Temperature,370.74,0,227,127,0.13,2.54,0.12,True,3
P006,Product_6,Motor,PowerLite,2023,12,110,10.23,2250,50,A,0.75,3,False,Li-ion,False,1.94,7.8,3.92,6x17x35,3570,Plastic,Grey,IP44,0.42,Manual,True,Zigbee,1,Temperature,483.05,10,321,301,0.13,3.17,0.21,False,2
P007,Product_7,Lighting,PowerLite,2020,12,220,9.05,1991,50,A+,0.75,1,True,Li-ion,False,2.03,10.6,1.12,27x49x44,58212,Composite,Red,IP20,0.68,Remote,True,Bluetooth,1,None,291.53,5,990,904,0.05,2.86,0.15,False,1
P008,Product_8,Lighting,VoltCraft,2017,12,110,21.04,2314,50,A+,0.8,1,False,None,True,3.85,2.1,4.88,7x20x6,840,Metal,Blue,IP20,0.62,Manual,True,None,0,None,416.71,20,599,122,0.06,2.63,0.18,False,1
P009,Product_9,Motor,ElectroMax,2018,24,110,4.35,478,50,B,0.88,1,True,NiMH,False,4.55,7.5,8.65,28x24x30,20160,Composite,White,IP65,0.63,Remote,True,Bluetooth,3,Voltage,48.9,10,134,84,0.06,3.65,0.1,True,2
P010,Product_10,Appliance,ElectroMax,2015,24,220,20.13,2214,50,A++,0.7,3,True,Li-ion,True,1.64,4.8,0.5,6x12x37,2664,Metal,White,IP65,0.73,App-Controlled,True,None,2,None,410.28,0,83,46,0.08,3.21,0.19,False,1
P011,Product_11,Motor,ElectroMax,2023,36,110,10.81,2378,60,A,0.76,3,False,None,False,4.35,8.5,8.6,30x48x23,33120,Plastic,Red,IP44,0.79,Manual,False,Bluetooth,3,Voltage,200.61,15,755,739,0.06,3.4,0.08,False,0
P012,Product_12,Lighting,ElectroMax,2022,24,110,9.55,2102,60,A+,0.96,3,True,NiMH,True,2.82,8.6,8.09,14x26x48,17472,Composite,White,IP65,0.38,Remote,True,Zigbee,2,None,346.67,15,442,171,0.11,4.57,0.16,True,1
P013,Product_13,Sensor,ElectroMax,2019,12,220,17.85,1964,50,A+,0.73,1,True,NiMH,True,1.47,11.9,6.37,7x34x45,10710,Metal,Red,IP65,0.48,Manual,False,Bluetooth,1,Voltage,253.09,10,435,320,0.02,3.87,0.13,False,1
P014,Product_14,Sensor,ElectroMax,2020,24,220,6.58,724,50,A+,0.88,1,False,Lead-acid,False,1.89,9.1,6.97,13x47x34,20774,Composite,White,IP67,0.22,Manual,False,None,1,Temperature,126.51,15,146,126,0.11,3.71,0.17,False,1
P015,Product_15,Sensor,PowerLite,2017,12,220,6.24,686,60,B,0.91,1,False,None,True,1.41,9.5,2.5,16x32x27,13824,Metal,White,IP44,0.14,Remote,False,None,0,Temperature,444.75,10,781,729,0.06,3.19,0.65,False,2
P016,Product_16,Battery,SparkTech,2024,36,110,5.41,1190,50,A+,0.78,3,True,None,False,2.86,6.2,7.44,30x24x35,25200,Plastic,Red,IP20,0.66,Remote,False,Bluetooth,3,Temperature,429.67,5,425,394,0.19,4.36,0.36,False,1
P017,Product_17,Sensor,VoltCraft,2020,24,220,8.86,975,60,A+,0.83,1,True,Lead-acid,True,4.04,10.8,3.62,23x29x38,25346,Composite,Blue,IP67,0.64,App-Controlled,True,None,0,Motion,155.93,20,524,12,0.14,2.64,0.16,True,3
P018,Product_18,Appliance,GreenCharge,2016,24,110,12.08,1329,50,A,0.93,1,False,None,True,2.17,2.8,2.06,6x17x29,2958,Metal,Blue,IP65,0.23,Remote,True,None,4,Temperature,355.35,5,740,719,0.17,2.91,0.27,False,1
P019,Product_19,Lighting,VoltCraft,2023,12,220,2.97,654,60,A,0.78,3,True,NiMH,False,4.7,7.8,5.72,11x8x35,3080,Plastic,White,IP65,0.46,App-Controlled,False,WiFi,2,Voltage,261.46,20,557,149,0.08,3.53,0.4,False,0
